[1742219335730678558] {"ok_rate":"0.00","green_blocked":false,"red_blocked":false,"reward":0}
[1742221623190109124] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221623190163375] Wait
[1742221633217147660] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221633217192119] ToggleRed
[1742221643254346425] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221643254426884] Wait
[1742221653282770028] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221653282878154] ToggleGreen
[1742221663319593066] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221663319649358] ToggleRed
[1742221673362741503] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221673362762378] ToggleRed
[1742221683388042378] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221683388104545] Wait
[1742221693412917757] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221693412987466] ToggleGreen
[1742221703444603143] {"ok_rate":"46.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742221703444621685] Wait
[1742221713476621311] {"ok_rate":"23.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221713476752811] ToggleRed
[1742221723514089931] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742221723514116806] ToggleGreen
[1742221733547224016] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221733547284058] ToggleGreen
[1742221743582743596] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221743582757221] ToggleRed
[1742221753609154063] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221753609237689] ToggleGreen
[1742221763650978565] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221763651037357] ToggleRed
[1742221773703702480] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221773703803314] Wait
[1742221783727890498] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221783727943415] Wait
[1742221793751666996] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221793751731872] ToggleGreen
[1742221803787570998] {"ok_rate":"51.00","green_blocked":false,"red_blocked":false,"reward":1}
[1742221803787597873] ToggleGreen
[1742221813815274187] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221813815327021] ToggleRed
[1742221823852562338] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221823852669172] Wait
[1742221833877980627] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221833878044586] ToggleRed
[1742221843928061256] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221843928113256] Wait
[1742221853938313363] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221853938346030] Wait
[1742221863945263479] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221863945284437] Wait
[1742221873969006187] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221873969107104] ToggleRed
[1742221884006429655] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221884006507906] ToggleGreen
[1742221894043081152] {"ok_rate":"52.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742221894043094860] ToggleRed
[1742221904073454741] {"ok_rate":"24.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221904073468241] ToggleRed
[1742221914102190120] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221914102258287] ToggleRed
[1742221924163805116] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221924163863950] ToggleGreen
[1742221934201976151] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221934202034859] Wait
[1742221944229009944] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221944229065403] ToggleGreen
[1742221954285101372] {"ok_rate":"31.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742221954285199664] ToggleGreen
[1742221964315039419] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221964315996048] ToggleRed
[1742221974353859211] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221974353963878] Wait
[1742221984377923447] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221984377985781] Wait
[1742221994400285435] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221994400349644] ToggleRed
[1742222004440107508] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222004440180883] ToggleRed
[1742222014475142181] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222014475210723] ToggleRed
[1742222024534646910] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222024534712619] ToggleRed
[1742222034574125112] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222034574205946] Wait
[1742222044596254149] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222044596359941] Wait
[1742222054623525774] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222054623594441] ToggleGreen
[1742222064656270206] {"ok_rate":"50.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222064656287414] ToggleRed
[1742222074686011107] {"ok_rate":"23.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742222074686062857] ToggleRed
[1742222084723081400] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222084723133192] ToggleGreen
[1742222094763582156] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222094763679907] ToggleRed
[1742222104795379993] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222104795397285] ToggleRed
[1742222114825609189] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222114825668981] Wait
[1742222124855721545] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222124855783920] ToggleRed
[1742222134911049369] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222134911107869] ToggleGreen
[1742222144943658087] {"ok_rate":"52.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742222144943672337] ToggleRed
[1742222154954453978] {"ok_rate":"21.00","green_blocked":false,"red_blocked":true,"reward":1}
[1742222154954469103] Wait
[1742222164961545440] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742222164961562149] ToggleGreen
[1742222174993138398] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222174993198481] ToggleRed
[1742222185042635832] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222185042684499] ToggleRed
[1742222195085669008] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222195085726008] ToggleRed
[1742222205140049203] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222205140102870] ToggleGreen
[1742222215179807763] {"ok_rate":"50.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742222215179820680] ToggleGreen
[1742222225213401406] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222225213500698] ToggleRed
[1742222235253625146] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222235253684397] ToggleRed
[1742222245294206290] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222245294223249] ToggleGreen
[1742222255319316943] {"ok_rate":"49.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742222255319337402] ToggleGreen
[1742222265330056988] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222265330073738] Wait
[1742222275351365052] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222275351421969] Wait
[1742222285380522434] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222285380604934] ToggleGreen
[1742222295415439783] {"ok_rate":"50.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742222295415457575] ToggleGreen
[1742222305442712309] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222305442827143] ToggleRed
[1742222315477877512] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222315477941846] ToggleRed
[1742222325533561552] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742222325533623135] ToggleRed
[1742222335573066406] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742222335573123198] ToggleGreen
[1742222345615325936] {"ok_rate":"52.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742222345615340770] Wait
[1742222355623342713] {"ok_rate":"24.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222355623360213] Wait
[1742222365631990319] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222365632014277] Wait
[1742222375640151769] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222375640172561] Wait
[1742222385645477245] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222385645495037] Wait
[1742222395651201100] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222395651212850] Wait
[1742222405656948355] {"ok_rate":"16.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222405656958563] Wait
[1742222415662760497] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222415662778539] Wait
[1742222425675357807] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222425675378057] Wait
[1742222435692120429] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222435692143762] Wait
[1742222445715274615] {"ok_rate":"19.00","green_blocked":false,"red_blocked":true,"reward":1}
[1742222445715306824] Wait
[1742222455745131604] {"ok_rate":"18.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222455745174271] Wait
[1742222465773138130] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222465773172714] Wait
[1742222475802753694] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222475802800028] Wait
[1742222485826737079] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222485826821496] Wait
[1742222495855849130] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222495855883799] Wait
[1742222505873857486] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222505873895780] Wait
[1742222515895071411] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742222515895162291] Wait
[1742222525927299217] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222525927332927] Wait
[1742222535948680140] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222535949219872] Wait
[1742222545979551920] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222545979579337] Wait
[1742222555999596125] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742222555999630336] Wait
[1742222566022849608] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742222566022883027] Wait
[1742222576041417683] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222576041509189] Wait
[1742222586068137228] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222586068233442] Wait
[1742222596092327199] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222596092380243] Wait
[1742222606123139932] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222606123201226] Wait
[1742222616154078669] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222616154318344] Wait
[1742222626190518432] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222626190556891] Wait
[1742222636219752855] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222636219803065] Wait
[1742222646240769168] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222646240895005] Wait
[1742222656263297587] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742222656263357547] Wait
[1742222666285500068] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742222666285532943] Wait
[1742222676311735625] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742222676311867586] Wait
